Width,Seconds,Counts,CPS,CPS \sigma,True CPS,True CPS \sigma,Adjusted,Adjusted \sigma,NCR,NCR \sigma
,300,39,0.13,0.3605551275,0.1300048288,0.3605685201,,,,
0,400,4358,10.895,3.300757489,10.92902048,3.311064359,10.92902048,3.311064359,1,0.4284512168
0.082,400,4136,10.34,3.215587038,10.37063783,3.225114949,10.240633,3.245208174,0.937012884,0.4384151408
