Width,Seconds,Counts,CPS,CPS \sigma,True CPS,True CPS \sigma,Adjusted,Adjusted \sigma,NCR,NCR \sigma
,300,62,0.2066666667,0.4546060566,0.2066788706,0.4546329016,,,,
0,30,7368,245.6,15.67163042,264.1347099,16.85432229,263.9280311,16.86045287,1,0.09034387527
1,30,3948,131.6,11.47170432,136.7414796,11.91989227,136.5348008,11.92855912,0.5173183016,0.1082307825
2,30,2051,68.36666667,8.268413794,69.72870062,8.433141151,69.52202175,8.445386951,0.2634128003,0.1372511574
3,30,960,32,5.656854249,32.29527105,5.70905129,32.08859218,5.727124733,0.1215808418,0.1895668569
4,30,401,13.36666667,3.656045222,13.41791031,3.670061361,13.21123143,3.698113231,0.05005618911,0.2871189433
5,30,172,5.733333333,2.394437999,5.742740489,2.398366753,5.536061619,2.441076434,0.02097564854,0.4455445606
6,30,61,2.033333333,1.425949976,2.03451529,1.426778866,1.827836419,1.497460854,0.006925510761,0.8217401231
