Width,Counts,Seconds,CPS,CPS \sigma,True CPS,True CPS \sigma,Adjusted,Adjusted \sigma,NCR,NCR \sigma
,39,300,0.13,0.02081665999,0.1300048288,0.02081743321,,,,
0,4358,400,10.895,0.1650378744,10.92902048,0.165553218,10.79901565,0.1668569252,1,0.02185118851
0.032,4017,400,10.0425,0.1584495188,10.07139772,0.158905464,9.941392889,0.1602632584,0.9205832467,0.02232974654
0.064,3872,400,9.68,0.1555634919,9.706846364,0.1559949293,9.576841535,0.1573778367,0.8868254149,0.02255628956
0.125,3673,400,9.1825,0.1515132007,9.206654315,0.1519117521,9.076649486,0.1533314904,0.8405071147,0.02289343504
0.25,2956,400,7.39,0.1359227722,7.405636472,0.1362103707,7.275631644,0.1377919831,0.6737310028,0.02444210852
