Width,Seconds,Counts,CPS,CPS \sigma,True CPS,True CPS \sigma,Adjusted,Adjusted \sigma,NCR,NCR \sigma
,300,49,6.12244898,2.474358297,6.13317757,2.478694205,,,,
0,60,2187,36.45,6.037383539,36.83359559,6.100920266,30.70041802,6.583591503,1,0.3032728866
0.032,60,9,0.15,0.3872983346,0.1500064288,0.3873149338,-5.983171141,2.508772174,-0.1948889145,0.4709604107
