Width,Seconds,Counts,CPS,CPS \sigma,True CPS,True CPS \sigma,Adjusted,Adjusted \sigma,NCR,NCR \sigma
,300,39,0.13,0.02081665999,0.1300048288,0.02081665999,,,,
0,400,4358,10.895,0.1650378744,10.92902048,0.1650378744,10.92902048,0.165553218,1,0.02142256084
0.082,400,4136,10.34,0.1607793519,10.37063783,0.1607793519,10.240633,0.1625939163,0.937012884,0.02194430872
