Width,Seconds,Counts,CPS,CPS \sigma,True CPS,True CPS \sigma,Adjusted,Adjusted \sigma,NCR,NCR \sigma
,300,62,0.2066666667,0.02624669291,0.2066788706,0.02624824281,,,,
0,30,7368,245.6,2.861235165,264.1347099,3.07716417,263.9280311,3.077276117,1,0.01648906182
1,30,3948,131.6,2.094437076,136.7414796,2.176264626,136.5348008,2.176422912,0.5173183016,0.0197494751
2,30,2051,68.36666667,1.509598917,69.72870062,1.53967388,69.52202175,1.539897602,0.2634128003,0.02503112877
3,30,960,32,1.032795559,32.29527105,1.042325391,32.08859218,1.042655835,0.1215808418,0.03452161756
4,30,401,13.36666667,0.6674994798,13.41791031,0.670058465,13.21123143,0.67057238,0.05005618911,0.05207968651
5,30,172,5.733333333,0.4371625683,5.742740489,0.4378798572,5.536061619,0.4386658633,0.02097564854,0.08009112568
6,30,61,2.033333333,0.2603416559,2.03451529,0.2604929899,1.827836419,0.2618120853,0.006925510761,0.1437098229
