Width,Seconds,Counts,CPS,CPS \sigma,True CPS,True CPS \sigma,Adjusted,Adjusted \sigma,NCR,NCR \sigma
,300,49,0.1633333333,0.02333333333,0.1633409559,0.02333442227,,,,
0,60,2187,36.45,0.7794228634,36.83359559,0.7876254196,30.70041802,0.7879709677,1,0.03038864171
0.032,60,9,0.15,0.05,0.1500064288,0.05000214295,-5.983171141,0.05517888693,-0.1948889145,4.138101832
